performance_id,age_group,ability_group,title_piece_1,composer_piece_1,title_piece_2,composer_piece_2,mark,feedback
ZORLYBjj,7-9,Up to Grade 5,Sonatina Op. 36 No. 1,Muzio Clementi,By the Seaside Op. 63,Louis Streabbog,79,"The Sonatina was taken at a lively tempo and musically presented from the outset, with bold contrasts in dynamics and articulation and a sense of shape in the phrasing. There was room to lighten the LH accompaniment in places and some of the gradual dynamic changes could have been more carefully graded, but apart from occasional unevenness in tone and flow, this was a characterful and spirited account.  By the Seaside began sensitively and flowed well, with the sustaining pedal warming the tone.  Sometimes pedal changes were a little delayed, slightly blurring the texture, and there was a little tonal unevenness in places, but this was a secure and musical account, with the middle section effectively contrasted and tempo changes well managed.  This was an engaging and committed performance, strongly communicated throughout. The two pieces were very effectively contrasted in style, drawing on a wealth of contrasts in dynamics and articulation, as well as expressive shaping. But for a little tonal unevenness, and scope for more careful management of textures, delivery was controlled throughout.  Congratulations on this very good performance."
ZYbWmGkk,16-18,Up to Grade 5,Waltz in B minor,Franz Schubert,Jackson Street Blues,Martha Mier,89,"You controlled the textures adeptly in the Schubert Waltz, allowing the melody to pervade clearly, supported by mostly even tone in the accompaniment. There was scope for the right-hand lines to be just a little brighter in outlook, but the pedal was tidy, ensuring clear and warm sound. The hands moved adeptly to sustain even accompanying rhythms and tidy dotted patterns. Expressive ideas were well conveyed, with a little subtlety in the tempo as well - there was room for even more overt contrasting statements, but dynamic shaping was true to the style.  ”Jackson Street Blues” was presented as a suitably ’lazy’, relaxed blues tune, swung effectively and with evident understanding of the style. There were a few note misplacements, slightly altering the harmonic detail, and room for more consistent coordination and voicing in managing the often quite busy textures. The playing was clear, well sustained and neatly shaped, though - sometimes slightly reserved in general projection of contrasts, but always with integrity to the character.  This was a well paced and excellently controlled performance of two very different pieces. Both were lyrical in their own ways, and you successfully emphasised this expressive lyricism whilst remaining stylistically well founded in your delivery. Any blemishes or moments of slight caution did not affect the ebb and flow of the playing.  Congratulations on this excellent performance, and all the best for your continued musical studies!"
ZrwqwLVD,10-12,Up to Grade 5,Minuet in G,Anon,The Song of Twilight,Yoshinao Nakada,88,"The first piece began with smooth lines, which were balanced and bright in tone. Effective and appropriate articulation was consistently applied, and the hands were largely well coordinated. There was scope for the dynamic involvement to be even more vibrant. Phrases moved with a suitable and engaging lilt, as lines were contoured and the notes were secure in relation to pitch throughout.    A calm and atmospheric opening was clear from the start of The Song of Twilight. The pedal was well controlled for the most part, with only some blurring of the parts within the middle section. Phrases moved with a positive sense of direction, and whilst there was scope to explore a wider range of tonal sonorities, the lyrical nature of the piece was embodied.    There was a clear sense of poise and control when playing, with textures confidently balanced throughout. The pieces contrasted well and there was an organised pacing between the items too. The different musical identities of the pieces come across mostly effectively, conveying a strong sense of stylistic awareness, just leaving room for more persuasive and expressive portrayal. The technical demands of the programme were met with positivity.    This was a very well controlled and assured performance. Thank you for playing."
aAJQAlZg,10-12,Up to Grade 5,Ninette's Musette,George Nevada,La Nouvelle Poupee,P.I.Tchaikovsky,73,"Ninette’s Musette was lilting in tempo, and the gentle character of this dance was conveyed. Pedalling lacked control and tended to abruptly shorten lower left hand notes, which impacted the stamina of phrasing. There was room for further dynamic colour and for a more obvious sense of direction in the phrasing, but hands worked comfortably together.   La Nouvelle Poupee was immediately energised and patterns of articulation were quickly established. Coordinating left hand accompanying figures became gradually less resilient and little of the refined musical detail was consistently added. However, moments of instability were well negotiated and the end was conclusive.  This was a purposeful performance, with a feeling of space between pieces. Tempo choices were well made and the different musical styles were understood, though not always colourfully delivered. There were technical challenges of pedalling in Ninette’s Musette and synchronisation in the second piece, and room for a much wider range of dynamic colour overall. However, you played with plenty of energy and enjoyment, and challenges were resolved.  Well done. This was a committed performance."
aEvJoolk,16-18,Grade 5 and above,Sonata in D,Domenico Scarlatti,"Snow, Moon and Flowers",Peter Sculthorpe,82,"The performance began with a spirited account of the Scarlatti, with much bright projection and bold emphasis supporting a lively tempo choice. The pulse was well sustained and there was a wide dynamic range, revealing engagement with the style and the need to contrast phrases. There was unevenness in the projection and the rhythmic management, resulting in occasional note misplacements and loss of clarity or precision, but the ornamentation was stylish and there was always focused and positive energy in the playing. Some of the shaping needed more integrity and consistency, with a tendency for melodic lines to lose tonal balance, but there was much colour in the playing, nonetheless.  The Sculthorpe began with suitably hushed ambience and muted colours, supported by the pedal which ensured controlled but resonant textures. Tempo choices were on the quick side, and there was scope for more space and variety in the pacing, which was somewhat urgent in ’Moon’ especially, restricting the scope for greater colour and contrast. Notes were in place, despite misjudgements in rhythmic or pulse management, and a very wide dynamic range ensured conviction in the story telling.  Your performance was boldly presented, with often secure technical work and plenty of contrast. There was scope for it to be more controlled in terms of pace and colour, with not all of the stylistic choices fully convincing in realisation, and a feel of general urgency affecting the evocative nature of the Scuthorpe in particular. You played with a sense of authority, though, and there was much diversity in terms of expressive breadth and tonal colour, which was engaging.  Thank you for sharing your playing, and congratulations on achieving an excellent overall performance. I wish you continued success and fulfilment in your piano studies!"
aMVJMWWb,13-15,Grade 5 and above,Allegro moderato,Joseph Haydn,New Kid,Christopher Norton,86,"The Haydn performance contained much wit and stylistic detail - a well gauged speed and touch added to its sense of engagement and control. Accurately presented, with mostly even semiquaver scalic passages and nimble ornaments. There was room for the development section to explore greater enterprise in dynamics and other effects, though much was accurate and well detailed, bringing the classical style vividly to life.  New Kid was characterfully done and benefited from a clear attack, as well as areas of added pizzazz. An occasional less rhythmically rooted patch and moment of unease in hand coordination occurred, with a call for extra overall exuberence, for example during the later, more improvisatory music. The overall choice of pace was good, and the best areas of the performance connected well with the music's flamboyant, jazzy style.  In each of the pieces there was a clear sense of purpose and stylistic grasp. Much was accurate and creative, notwithstanding isolated patches of less dependable facility and accuracy, and the two pieces contrasted well also. Examples of insight and ingenuity were good to hear, especially during the Haydn.  Many congratulations, and very best wishes for your onward musical journey!"
aOzPnxOe,13-15,Grade 5 and above,"Prelude And Fugue In B Flat Major, BWV 866",J.S. Bach,"Arabesque No. 2: From Deux Arabesques, L.66",Claude Debussy,95,"Bach’s Prelude was played with tonal brightness and fluency, the phrases musically shaped with tonal graduation to give direction to the line. Occasional blemishes of evenness affected articulation of the semiquavers, although accuracy was maintained, and the second half saw appropriate flexibility of tempo. The fugal subject was musically shaped with variation of articulation and tonal phrasing, and throughout the movement, subject definition was controlled, giving textural clarity to the counterpoint, despite occasional slips of evenness as the texture thickened and hands were coordinated. A convincing account overall.  A real sense of playfulness supported the character of the Arabesque from the outset, tone light and with precision of articulation and fingerwork giving an air of confidence to the flamboyant style. Sometimes, the quieter dynamic level needed just a little more exploration, although musical shaping was appropriate throughout, contrasts of articulation clearly defined, and with accuracy consistent for the majority of this assured rendition.  Throughout the performance, you played with technical assurance and musical conviction, the contrasting styles clearly defined and musically communicated to your audience. Personal involvement was consistent and the styliistic engagement of your playing was persuasve, making it a pleasure to watch.  Many congratulations on this exceptional performance and I wish you every success in your further musical ventures."
aRyxMGmJ,7-9,Up to Grade 5,Mouvement de valse,Louise Farrenc,Idylle,Cecile Chaminade,76,"A bright tone and sprightly tempo were in place for Mouvement de valse. The tone colours and mood of each section might have been more contrasted to support style and character, but the pulse was firm and the notes flowed robustly.  There was a legato flow in the main in Idylle and some effective pedalling. Further flexibility in tempo and rise and fall in the shaping would have supported the phrasing more stylishly, but the notes flowed with confidence.  There was a clear sense of focus and conviction in this performance, although more musical shaping supported by contrast in tone and dynamic would have enhanced the sense of style and character in the chosen pieces.  Well done on a securely memorised performance."
aVYdQlxV,13-15,Grade 5 and above,"Velocity, Op. 109 No. 10",J. F. F. Burgmüller,Galop Final,Casella,90,"The Burgmuller was crisply articulated and phrases were directed with a sense of poise at a suitably energetic tempo. There was the occasional note blemish, with a little loss of tonal clarity in the running figures and room for further nuancing in terms of phrasing detail but it was nevertheless projected with agility and authority.  The cheeky character was convincingly portrayed, with nimble and incisive staccato work being featured,. There was room for a little additional tonal variation but the changes of tempo latterly were nonchalantly handled and the humour of the writing was engagingly caught.  The programme was presented with a sense of authority and professionalism, appropriate space being allowed in between items. The technical demands of the work were readily met throughout, with a strong degree of rhythmic fluency and largely secure note accuracy. Tidy hand synchronisation was nearly always maintained, without the need for any compromise of tempo. The musical styles on offer were similarly well realised, with a broad and emphatic dynamic range. There was scope for additional finesse and variation but the playing as a whole was communicated with sparkle and vivacity.  Congratulations on this most persuasive performance!"
aVlGbqxz,16-18,Grade 5 and above,"Prelude in C sharp minor: No. 10 from 24 Preludes, Op. 81",Stephen Heller,Honey (Humoresque): third movement from In The Bottoms,R. N. Dett,68,"There was tenderness in the projection of the Heller, particularly helpful in balancing the sound between the hands so that melodic lines came across clearly. The shaping of phrases was often clear, and revealed some awareness of the ebbing and flowing nature of the music, though there was scope to use the pedal more liberally to support this with more resonant and colourful sound. The tempo choice was cautious, given the composer’s marking, and this significantly slower approach impacted on the general character and direction of the phrasing, with some unease in the closing stages briefly affecting the momentum, though this was quickly recovered. There needed to be more urgency in the playing to counterbalance the lightness and delicacy that you did achieve, though expressive statements often convinced, such as the delivery of the final chords.  ’Honey’ was generally accurately presented, in terms of its rhythmic and harmonic detail, and where the playing flowed more positively there was characterisation and contrast. The tempo was significantly slower than the mark in the outer sections, though more suited to the central part; changes in tempo lacked secure conviction and there were other missed opportunities to convey the composer’s stylistic and expressive intentions, with mostly careful delivery of the technical detail leaving other musical aspects less overtly explored. Some of the middle and final section was uneasy in flow and facility, but contrasts were still very much in evidence and the ending had a sense of flair.  Though you presented these two lyrical pieces with an emphasis on their lyricism rather than their momentum, this did make for some expressive and sometimes colourful playing, and notes and rhythms were generally accurate. A sense of engagement with the musical narrative was sensed, and the performance communicated some distinct personal musical choices, even if some of these were less in alignment with the musical demands of the music. Overall, the playing involved the listener well and conveyed plenty of colour and contrast.  Thank you for sharing your performance, and well done. It was enjoyable, and I wish you many more enjoyable and fulfilling musical experiences in the future."
aWOyMVMM,10-12,Up to Grade 5,Carnival in Rio,William Gillock,Presto: 3rd movement from Sonata no. 6 in C minor,Giovanni Battista Pescetti,78,"The Carnival in Rio bounced forwards securely with cleanly articulated fingerwork. The chords could have been bolder in projection and a bigger dynamic arc developed. There was real attention to the phrasing detail though, whilst the samba rhythm had strong definition.  A lively speed characterised the Presto with an ease of flow ever present, although slightly rushing in the central part. There was room to make the tonal contrasts wider and detached left hand notes became clipped at times. However passagework had real clarity and projection.   The performance was confidently presented and there was a very good feel for the character of each piece, if scope for more nuance.  I enjoyed the committed approach, well done."
abQwbqdr,10-12,Up to Grade 5,Spiritoso,Muzio Clementi,The village in May,Joe Hisaishi,85,"A bright tone and lightness in the articulations suited the Spiritoso and the dynamics were effectively terraced, with phrases clearly pointed and shaped. There were brief moments of rhythmic uneveness along the way in the RH, but much was neat and confidently stylish in the playing.  The sprightly tempo captured the jaunty spirit of The Village in May, with a good grasp of the rhythmic shape present and buoyancy in the articulations. There was scope for more vibrant dynamic contrast and detail but this was an engaging performance.  A confident performance with a poise in the pacing and clear contrasting of the musical character and style of the chosen pieces.  I particularly enjoyed the sense of the narrative which came across in your performance of The Village in May Joey."
aexxEDQR,13-15,Grade 5 and above,Venetianisches Gondellied,Felix Mendelssohn,Polonaise in A.,F. Chopin,65,"In the Mendelssohn the phrases were sensitively shaped and the dark mood was conveyed with intensity. There were various misdirected notes but the melodic line was carefully delineated. The use of pedal added tonal sonority although smudges of harmony were encountered at times in the process. Despite a few more note slips as it progressed the rubato was expressively integrated.  In the Polonaise you caught much of the flamboyance of the writing, with a clear sense of rhythmical impetus in your bold tone and purposefully-clipped dotted rhythms. There were quite a number of errors and ’splashes’ in the chordal work in particular and the playing needed greater precision in general but the forthright accenting and well-committed dynamic colours lent character to your playing.   The programme was presented with an air of calm professionalism and you allowed appropriate time and space in between items. Overall there was a need for further accuracy in the note placements, mainly in the Chopin, but you performed with a welcome sense of stylistic awareness and commitment.  There was much musicality to enjoy in your playing and I wish you all the best as you continue to progress."
ajVAXwQO,13-15,Grade 5 and above,Over the Bars,James Price Johnson,Juin: Barcarolle,P.I.Tchaikovsky,78,"A positive, appropriate tempo was set at the start, and the style of the music came across well in the introduction and in the opening phrases of the first section. Here, notes and rhythms were well controlled and accurate, though hints of hurrying were evident. As the piece progressed, there were losses of firm pulse and imprecisions in the notes. This particularly affected the left hand, and the playing felt somewhat frenetic as a result, with a need for more consistent control and broader dynamic statements. Continuity was sustained, though, and there was plenty of energy and boldness at the end.  The Tchaikovsky began sedately and there was engagement with the lyrical nature of the music, with some insightful rubato helping to shape phrases. There was scope for more balance, with a tendency for accompanying detail to dominate and pedal to blur the texture. This became more noticeable in the middle section, and there were note misplacements here which diminished the effect of the build to the central climax. Thematic interplay in the final section was effective, catching the reflective character with accurate notes in place.  The performance overall was always focused and the vivid contrast of style between the two pieces was successfully conveyed. The playing needed more consistent control and technical precision, to support the musical and well-founded interpretative ideas. Nevertheless, much of the playing was expressive and individual.  I enjoyed hearing you play - thank you for sharing your work, and all best wishes for continued enjoyment and success in your piano studies."
aonWnDPe,10-12,Up to Grade 5,March in D,C.P.E.Bach,Austrian Dance,Burgmüller,78,"C. P. E. Bach’s March in D was played with a positive feeling of rhythmic lift, and the figures were placed with a reliable sense of control with just a small slip occurring right at the end. There was nonetheless room for more spirited articulation and greater tonal confidence in the melodic line, but the flow was commendably secure and something of the music’s march-like character was projected.  In the Austrian Dance by Burgmüller the articulation was clear and crisp, and moments of dynamic nuance added to the energy and vitality of your playing. Tempo consistency wasn’t always fully reliable, with some unevenness in the flow occurring along the way, but a feeling for the dance quality of the music was conveyed - even if more flexibility of contour was possible - and note accuracy was largely assured.  This was a focused performance, with a keen sense of involvement present throughout, and there was much to commend in the technical delivery despite some rhythmical irregularities along the way. More expressive insight was possible, and the phrasing sometimes required more varied shaping, but a good feeling of poise was always conveyed throughout the performance.  Well done on this sensitively presented playing!"
araXWMwG,10-12,Grade 5 and above,Csikós Post,Hermann Necke,Arabesque No 1,Claude Debussy,85,"Crisp staccato playing was a laudable feature in ’Csikos Post’, with a suitably light touch giving particulary apt colour. Semiquavers in the right hand of the main theme were less tidily managed, with scope also for a little more sustenence in the final chords to really add panache to the ending. Otherwise it was colourful, shapely and stylish playing.  There was a definite sense of expression achieved in the Debussy, a broad range of colour and a clear melodic line were both admirable features. That said, the touch was quite firm in the loudest moments, sometimes impacting the sense of tonal warmth in the right hand and in some of the chords. More nuanced contours and further rhythmic poise in the first half would have given it a more vivid effect, but it was fluent, assured and insightful playing nevertheless.  An engaging performance, with a clear feeling of personal invovlment, but also projection, achieved throughout. Various stylistic nuances could have been further refined, more particularly in the Debussy where the shaping was generally in need of a more seamless effect. Regardless, a solid understanding of the two different styles was clear, and the technical demands were managed with apparent ease.  Excellent playing! I especailly admire the lightness of your touch in the Necke, and of your mature grasp of the concepts of balance and rhythmic flexibility through the Debussy. I hope you enjoy many future performances!"
bRogakON,7-9,Up to Grade 5,"Invention in D minor, BWV 775",Johann Sebastian Bach,Dolly’s dreaming and awakening,Theodore Oesten,70,"The Bach Invention was taken at an apt tempo and accurately played in the main, with some colourful variety in the articulation, and the important melodic material effectively projected from the texture overall. Not quite all the shorter notes flowed evenly and some of the ornamental detail could have been a little tidier, but there was something of the style captured.  The narrative of Dolly’s Dreaming and Awakening was brought to life through the various contrasting moods, which were vividly projected, with some musically shaped phrasing in the opening section, and characterful contrasts in dynamics and articulation as the piece went on. There were a few melodic stumbles and the hands sometimes needed to be more precisely coordinated but this was colourful playing.  Engagement and poise were maintained throughout the performance of these two effectively contrasted pieces. There was room for greater control in some of the delivery, but characterisation was especially effective in the second half of the performance.  A very good performance - well done."
bVoWyqPg,10-12,Up to Grade 5,"J.S Bach Invention in D minor, BWV 775",J.S Bach,Adagietto Pianissimo by Ginastera,Alberto Ginastera,79,"The Bach was confidently attacked at a bright speed. The counterpoint was often well-defined and the phrases had clear direction here. Some slight untidiness appeared during the long trill passages and there was scope to find further differentiation of articulation throughout, but it was still a convincing account.  A calm atmosphere was created in the Adagietto with an appropriately soft tonal palette. A little more rhythmic pointing could have been in place and there was room to be bolder with the phrase shaping. However an easy lilt was maintained and the sound was always well-judged.  This was presented with a calm authority and I enjoyed the different characters of each piece. A shade more outward communication could have been found overall.  Bravo on some very good playing throughout this performance."
bXGznzWr,10-12,Grade 5 and above,"Invention No. 8 in F Major, BWV 779",Johann Sebastian Bach,"Nocturne in C-sharp Minor, Op. Posth., B. 49",Frédéric Chopin,79,"Bach’s ’Invention’ was well paced, an apt sense of character was achieved in this regard. It tended to slow slightly in parts where both hands played broken chords. more variety of shape and a more sensitive balance beween the hands would have given it a more expressive effect, but it was melodically assured and entirely fluent.  Chopin’s ’Nocturne’ found some suitably sombre colours, and the legato was often effectively controlled. Rhythmically it was a little slow and needed a more rubato approach to bring out the style convincingly, with the left hand also tending to be the more prominent voice in the balance, especially where the melody was quietest. Still the ornaments and right hand flourishes were well executed, and all of the notes were found with assured fluency.  A totally committed performance, there was a sense of surety in your approach across the programme. The expressive elements of both works needed further development, mostly in terms of balancing and shaping, but also with regard to rhythmic freedom in the Chopin. Nevertheless, a solid technique meant their delivery was still very convincing as a whole.  Bravo! A very good performance which showcased your various musical strengths. I sincerely hope you continue to share these achievements with others in furture performances, and wish you all the best as you progress on your musical journey!"
bXgaxKVj,13-15,Grade 5 and above,Thunder in drought season,Chen Pei Xun,Danny Boy,Niiki Illes,88,"The changing moods of the Chen were colourfully characterised, and largely secure notes and rhythms supported this. Articulation was often well focused and there was plenty of positive and often energetic phrase direction. The playing was sometimes compromised by coordination and projection unease, and there was scope for more consistently tidy note placement and rhythmic delivery, particularly in some of the more intricate decorative passages. A wide dynamic range brought much effective and impactful expression, and though tempo changes were sometimes overdone, the playing had authenticity in terms of its ebb and flow.  You presented the opening phrases of ”Danny Boy” with lyrical shape and expressive insight. Melodic lines were strongly projected and the harmonic underlay did not intrude, though it was sufficiently voiced for the colour from the jazzy chord shapes to always be present. There was a little untidy placement along the way, and in the middle, around the key transition, the momentum was less clear. There were scope for even more sensitivity at the quietest moments, and broader sweeps to accentuate the song-like qualities, especially around the final climax. Rhythmic detail was articulated with insight, though, and the ending was poignantly done.  Throughout the performance you demonstrated strong awareness of style and the importance of communicating the characters and moods of the two pieces. The playing was well paced and the colours and contrasts were well conveyed. Technical delivery was secure, but just a little inconsistent at times, in terms of balance and tonal clarity, more tellingly in the first piece. The rendition of ”Danny Boy” was expressively compelling and touching.  Thank you for sharing your playing! There was much excellent work, and lots of musical insight. I wish you continued success in your music."
blYXXQMo,10-12,Up to Grade 5,"Invention No. 8 in F Major, BWV 779",J.S. Bach,"Polonaise no. 11 in G minor, Op.posth KKIIa Nr.1",Frederic Chopin,87,"Articulation achieved variety in the Bach Invention, with vitality communicated, and the style was realised. Effective dialogue between the hands was displayed, though even more detail and shape were possible in the left hand figures. Although some slightly untidy co-ordination was audible, the interpretation was stylish, with the ending poised.   The Polonaise captured a wide range of dynamics, with the elegance of this composer present. Despite this, there was room for even bolder shaping of some phrases, together with further colour and a little more expression in the accompaniment. A well judged balance between the hands was preserved, nonetheless, and the right hand possessed a bright tone, with an appropriate elasticity explored.   Considerable finesse was conveyed in these interpretations, though even more variety in mood was possible between the two chosen pieces. A little more control was required in a few places, as well as further expression in the left hand at times, but stylistic demands were well met. The tone retained clarity, with sensitivity apparent, and some effective voicing was achieved.   An excellent performance, with an extensive range of delicate colours employed, and the rhythms were able to dance. Congratulations!"
blYaZAgM,10-12,Grade 5 and above,15 Inventions a 3 Voix,Johann Sebastian Bach,Rhapsodie,Maxwell Eckstein,88,"Bach’s Invention was immediately playful in character, with a firm feeling of dialogue between hands. Balancing and highlighting entries was not always wholly assured, and held notes lacked sufficient tonal weight overall. However, there was plenty of expressive shape and an especially well paced closing passage.   Rhapsodie began with exuberance and with colourful dynamics. The style was clearly enjoyed, and changes of tempo and character were carefully managed. Small smudges in chords impacted bigger moments and there was room for an even wider range of dynamic variety, to more fully capture the excitement. However, this was a confident and effectively communicated performance.  You played with determination, clearly understanding the stylistic demands of each piece. Pacing was not wholly convincing though, with limited time before the Rhapsodie, and a spoken introduction was omitted. Nevertheless, musical ideas were obvious and were openly shared.  Congratulations. This was a colourful and determined performance."
bmeZkqvv,10-12,Grade 5 and above,New Kid,Christopher Norton,iL Pleut,Mélanie Bonis,86,"’New Kid’ had bright energy and melodic clarity, with the mood instantly captured. Chords were crisp and neatly placed, with parts mostly coordinated - though not consistently. Strong pulse and rhythmic assurance throughout, but occasional melodic figures were rushed, with briefly waning musical focus in the middle section - though accuracy and clarity were maintained in quick passages. The tone was often slightly forced, with scope for wider tonal and dynamic variety across the piece, particularly quieter moments - but this was stylistically confident.    ’Il Pleut’ began with assured direction and rhythmic semiquavers passed neatly between hands. The melody was mostly clearly projected, with crisp staccato - though occasionally the tone became slightly over-bright; there were a few untidy and unrhythmic moments, with isolated unprojected notes and fleeting instability unsettling melodic lines. Effective musical flexibility and transitions between sections; room for quieter, warmer tone in places, and for more lightness in touch overall - but there was careful dynamic shaping and bold focus here.    This was a secure and carefully paced performance, with confident momentum, and stylistic communication and engagement throughout; room for wider tonal range overall, but this was an assured and committed presentation.    I particularly admired the crisp rhythmic definition you maintained through extended semiquaver passages in ’Il Pleut’."
bpjalxzZ,10-12,Up to Grade 5,The Spanish Guitar,William Gillock,Spinning Song,Albert Ellmenreich,76,"The Spanish Guitar was fluently presented with rhythmic energy and neat fingerwork. Repeated notes were sometimes over-projected and slowed the lines, but there was much effective variety and character here.  The Spinning Song was confidently played at a bright pace. A lighter touch could have been cultivated for the detached notes and accents were often a little heavy in attack. Dynamics were beautifully graded though and musical direction was always in evidence.  The performance could have been enhanced by a more fluid presentation and holding the mood of each piece to the end of the final note. However the character of each piece was well-conveyed.  I enjoyed the differing moods here. Well done on achieving some very good playing."
bqrkLARK,10-12,Up to Grade 5,Skyfall,Adele,Vivace,Muzio Clementi,75,"Skyfall began with a carefully paced first chord, which provided an unhurried opening to this performance. The tempo was well judged and usually maintained, though faster notes sometimes caused instability. Pedalling lacked a really unified approach and there was room for further consideration of balance, to allow the melody to sing freely above accompanying chords. However, the reflective character was conveyed.   Clementi’s Vivace danced with energy, at a lively tempo. There were moments of unevenness and a slight tendency to rush through bars of quavers. However, some of the refined detail was added and hands worked efficiently together much of the time.  This was a carefully paced performance, with space for reflection between each piece, and the contrasting styles were clearly understood. Pedalling and clarity of finer detail lacked consistency, but your enjoyment was obvious.  This was a determined and cheerful performance, well done."
dABdwvXA,16-18,Grade 5 and above,Regret,Levi Gunardi,Arabesque No.1,Debussy,87,"You began ’Regret’ with appropriate poise, a warm tone being projected. The melodic line was carefully highlighted and you shaped the lines thoughtfully, although there was room for further use of varied tonal shading and for some evocative moments of more tender dynamic. The flowing passages were rhythmically secure, with just the odd misdirected note or hint of smudged harmony. The intensity of the piece was, however, well understood.  The Debussy flowed confidently and freely for the most part. The melodic material could have projected more sonorously through some gentler accompanying textures and at times there was a need for more refinement of pedaling to avoid overly-clouded harmonies. The marked changes in dynamic and tempo were faithfully followed although further expressive and interpretative detail could have been explored, with more spaciousness in the phrasing to highlight the more magical and ethereal moments of Debussy’s writing. It was, nonetheless, a rhythmically secure and gracefully shaped account  The programme was presented in a calm and professional manner, with appropriate space being afforded in between items. The technical aspect of the work showed good overall security and fluency, with the rhythmical features being confidently negotiated, barring occasional minor blemishes. The contrasting styles were well defined and whilst there was room for more depth of expression, with further exploration of the imagery behind the writing in your use of tonal shading, you nevertheless showed a convincing understanding of the musical structures of the two works in this well-committed performance.  There was much to enjoy in your excellent playing - well done and good luck in all your future musical exploits!"
dBoOQwnY,7-9,Up to Grade 5,Spooky Wood Hollow,Heather Hammond,Sleeping Beauty,Ivana Loudova,77,"The opening of Spooky Wood Hollow was crisply articulated and the playing was characterised by bold and colourful contrasts in dynamics and articulation, which brought the music to life. Not quite all was rhythmically precise, slightly impeding the flow in places, but notes were all in place in this engaging performance.  Sleeping Beauty was taken at a lively pace and accurately played throughout, although there was occasional slight unevenness of flow and tone, particularly in some of the shorter notes. The changes in mood were characterised through a wide range of dynamics and articulation and there was just room to make more of the dance character. A colourful account with tempo changes effectively managed.  There was a strong sense of performance, demonstrating engagement and commitment throughout. There was a little unevenness in the delivery at times, but the two contrasting pieces were boldly characterised, bringinthe music to life.  Contratulations on this very good performace."
dDXpnbKB,10-12,Grade 5 and above,Allegretto,Bohuslav Martinu,Mazurka in A Minor,Fryderyk Chopin,77,"The Martinu was played with a bold attack and clear observation of the accents. The tempo was a little cautious to fully capture the energy of the piece, with phrases not quite achieving elegance of shape. However, throughout the account the rhythmic shapes had real clarity and dynamics were often effectively placed too.  A thoughtful tempo allowed the Chopin to unfold with space. There was much expressive shaping of the melodic line and the left hand was carefully balanced. The texture was not always clearly voiced in the major section and the momentum was quite static here. A very assured use of the pedal was evident though and I enjoyed the poised end to the mazurka.  The pieces were positively presented with good contrasts of character. A little more overall flow and confidence could have been in place to fully achieve the spirit of the music.  I appreciated the attention to detail throughout and the calm approach. Well done on some very good playing."
dVvGLwAZ,7-9,Up to Grade 5,Wallace and Gromit Theme,Julian Nott,Waltz Op. 12 No. 2,Edvard Grieg,91,"Energetic flow and impetus were immediately apparent in the Wallace and Gromit theme and you brought rhythmic vitality to the figures. Highlighting the quirky nature of the accompaniment was particularly effective, and you brought real flair to the conclusion. This was a compelling account and the way you brought out a sense of the music’s jocular character was engaging.  The Grieg Waltz was played with apt rhythmic lift and there was robust control in the flow and direction. There was nonetheless room for more flexibility in shaping the lines, and there were moments earlier on when keener balance was possible, though the middle of the piece brought more expressive insight, warmly conveying the character of the music, though with just scope for greater tonal consistency along the way.  Clear musicality informed both interpretations, and particularly the first piece was played with decisive intuition. The direct way in which you performed also helped to enhance the character of the music, with an eager sense of involvement ever-present.  Congratulations on such polished playing – and I particularly enjoyed your sense of fun in Wallace and Gromit!"
dVzbZZgV,7-9,Up to Grade 5,The quiet wood,Michael Head,Allegretto in C,Anton Diabelli,75,"Lines were smooth and clean in The Quiet Wood, and phrases were fluent too. There was some organised dynamic involvement, particularly in the latter half of the piece, though scope to explore the lyrical and expressive components more vividly. Notes were accurate in relation to pitch.   Allegretto in C began with strong, determined chords and the hands were largely well coordinated throughout. Momentum was always maintained, though the pulse slowed somewhat, leaving room for more rhythmic security and fluency. Although there was room to communicate the style more persuasively, the tone remained confident.   A sense of involvement was conveyed, as lines were confidently projected and textures controlled. There was some organised pacing between the two pieces, which were contrasting. The different musical identities of the pieces came across in part, conveying an appropriate mood, but leaving room for more detailed and expressive portrayal overall. There needed to be more control over pulse, but a sense of momentum was always present.  Thank you for playing - I enjoyed the dynamic shaping as The Quiet Wood progressed. It was more communicative and involved."
