performance_id|piece_1_feedback|piece_2_feedback
ovwNvmAm|['fluent/positive', 'graceful/positive', 'lyrical/positive', 'precise/positive', 'untidy/negative']|['warm/positive', 'legato/positive', 'fluent/positive', 'expressive/positive', 'unsteady/negative']
pElXPmqG|['energetic/positive', 'seamless/positive', 'articulate/positive', 'buoyant/positive', 'engaging/positive']|['inconsistent/negative', 'insecure/negative', 'imprecise/negative', 'unsteady/negative', 'fluctuating/negative']
pRmlQjRZ|['lyrical/positive', 'consistent/positive', 'gaps/negative', 'unbalanced/negative', 'accurate/positive']|['vibrant/positive', 'alert/positive', 'flair/positive', 'variety/negative', 'confident/positive']
pVrXKMNX|['clear/positive', 'buoyant/positive', 'uneven/negative', 'monochrome/negative', 'contrast/negative']|['bright/positive', 'assured/positive', 'forward/positive', 'articulation/positive', 'hesitation/negative']
pdvjjlXQ|['lively/positive', 'bounce/positive', 'uneven/negative', 'brilliant/positive', 'detail/negative']|['warmth/positive', 'sensitivity/positive', 'flexibility/positive', 'conviction/negative', 'dynamics/positive']
plmNBDVZ|['sincere/positive', 'warmth/positive', 'pedalling/negative', 'grace/positive', 'expressive/positive']|['brisk/positive', 'directed/positive', 'blemishes/negative', 'colours/positive', 'inconsistent/negative']
qExWpAvN|['gentle/positive', 'graceful/positive', 'coordinated/positive', 'dominant/negative', 'blocked/negative']|['bold/positive', 'metered/positive', 'softening/negative', 'transmitted/positive', 'serene/positive']
qONKxnLW|['vivacity/positive', 'shaping/positive', 'excitement/positive', 'accurate/positive', 'untapped/negative']|['flexibility/positive', 'voicing/positive', 'sentimentality/positive', 'accuracy/positive', 'nuance/negative']
qYeGedvA|['expressive/positive', 'freedom/positive', 'mistimed/negative', 'verve/positive', 'individuality/positive']|['accurate/positive', 'driven/positive', 'inconsistent/negative', 'vivacious/positive', 'imaginative/positive']
qaPRBadY|['expressive/positive', 'smooth/positive', 'uneven/negative', 'intrusive/negative', 'gentle/positive']|['bright/positive', 'confident/positive', 'heavy/negative', 'imbalanced/negative', 'controlled/positive']
qaPpEwgW|['steady/positive', 'precise/positive', 'reliable/positive', 'outward/positive', 'lacking/negative']|['depth/positive', 'secure/positive', 'expressive/positive', 'misplaced/negative', 'slips/negative']
qgXerZZJ|['lively/positive', 'uneven/negative', 'defined/positive', 'shaping/negative', 'flow/positive']|['depth/positive', 'blurring/negative', 'projection/positive', 'tapering/negative', 'atmosphere/positive']
qjgdaOeg|['balanced/positive', 'secure/positive', 'unstable/negative', 'crisp/negative', 'dynamic/positive']|['precise/positive', 'sprightly/positive', 'purposeful/positive', 'vibrant/negative', 'expressive/negative']
qlpKOrOx|['expressive/positive', 'nuanced/positive', 'natural/positive', 'colorful/positive', 'outstanding/positive']|['assured/positive', 'characterful/positive', 'vibrant/positive', 'confident/positive', 'harsh/negative']
qplvLGOd|['brisk/positive', 'crisp/positive', 'buoyant/positive', 'sprightly/positive', 'varied/positive']|['darker/positive', 'graceful/positive', 'sensitive/positive', 'expressive/positive', 'clouded/negative']
qwwNmyrw|['fluent/positive', 'characterful/positive', 'coordinated/positive', 'untidy/negative', 'hesitant/negative']|['steady/positive', 'legato/positive', 'reliable/positive', 'unsteady/negative', 'slips/negative']
qxmWZAgX|['poised/positive', 'gentle/positive', 'nuanced/positive', 'blemishes/negative', 'unsteady/negative']|['expressive/positive', 'flowing/positive', 'inconsistent/negative', 'pedalling/negative', 'cautious/negative']
rEPlyWNV|['clear/positive', 'full-bodied/positive', 'monotone/negative', 'limited/negative', 'energetic/positive']|['buoyant/positive', 'varied/positive', 'dominant/negative', 'lacking/negative', 'expressive/negative']
rEbnRJWv|['elegant/positive', 'poised/positive', 'uneven/negative', 'clear/positive', 'assured/positive']|['colorful/positive', 'nuanced/positive', 'projected/positive', 'inconsistent/negative', 'poised/positive']
rJdNAvAM|['lively/positive', 'balanced/positive', 'fluent/positive', 'articulate/positive', 'unimaginative/negative']|['convincing/positive', 'energetic/positive', 'imprecise/negative', 'secure/positive', 'inconsistent/negative']
rLXBXKeM|['assured/positive', 'hesitant/negative', 'fluent/positive', 'limited/negative', 'rhythmic/positive']|['cheerful/positive', 'secure/positive', 'uncertain/negative', 'wavering/negative', 'restricted/negative']
rQxnxEqj|['assured/positive', 'coordinated/positive', 'clarity/positive', 'untidy/negative', 'blemishes/negative']|['characterful/positive', 'crisp/positive', 'coordinated/positive', 'hurrying/negative', 'blemishes/negative']
rjBjJMav|['expressive/positive', 'unity/positive', 'phrasing/positive', 'conversational/positive', 'unevenness/negative']|['vibrant/positive', 'energetic/positive', 'articulation/positive', 'unevenness/negative', 'limited/negative']
rjOjPJvE|['bright/positive', 'energetic/positive', 'buoyant/positive', 'joyful/positive', 'poised/positive']|['coordinated/positive', 'precise/positive', 'balanced/positive', 'lively/positive', 'imprecise/negative']
rlQkElWD|['colorful/positive', 'elegant/positive', 'neat/positive', 'definitive/positive', 'unpersuasive/negative']|['detailed/positive', 'dexterity/positive', 'eloquent/positive', 'rhythmic/positive', 'poise/negative']
rpJOygqq|['lilting/positive', 'projected/positive', 'buoyant/positive', 'uneven/negative', 'disruptive/negative']|['flowing/positive', 'secure/positive', 'contrasted/positive', 'evocative/positive', 'blemish/negative']
vJMqJljN|['dolce/positive', 'lilting/positive', 'hesitant/negative', 'timbre/negative', 'expression/negative']|['energetic/positive', 'conviction/positive', 'vivid/positive', 'dynamic/positive', 'finish/positive']
vMBmlJwj|['flow/positive', 'lively/positive', 'tonality/negative', 'warmth/negative', 'smudging/negative']|['precision/positive', 'balance/positive', 'brightness/positive', 'engaging/positive', 'virtuosic/positive']
vZyZLyEe|['confident/positive', 'fluent/positive', 'coordinated/positive', 'untidy/negative', 'spacious/positive']|['crisp/positive', 'untidy/negative', 'momentum/positive', 'unsteady/negative', 'bold/positive']
vamGdKEL|['vibrant/positive', 'clarity/positive', 'bold/positive', 'rushed/negative', 'untidy/negative']|['confident/positive', 'graceful/positive', 'fluid/positive', 'unrhythmic/negative', 'irregular/negative']
vkrRLDar|['articulation/positive', 'tempo/positive', 'elegance/positive', 'inaccuracies/negative', 'imbalance/negative']|['colour/positive', 'articulation/positive', 'focus/positive', 'pacing/negative', 'inconsistency/negative']
vqgzQGro|['rubato/positive', 'grace/positive', 'bright/positive', 'accurate/positive', 'fluency/negative']|['lively/positive', 'staccato/positive', 'contrasts/positive', 'slips/negative', 'secure/positive']
vrJBaora|['flowing/positive', 'lyrical/positive', 'steady/positive', 'blemishes/negative', 'hesitations/negative']|['clear/positive', 'steady/positive', 'jazzy/positive', 'accent/positive', 'hesitations/negative']
vrbqNVpm|['paced/positive', 'buoyant/positive', 'imprecise/negative', 'unvaried/negative', 'legato/positive']|['accurate/positive', 'fluent/positive', 'expressive/positive', 'clarity/positive', 'articulation/positive']
wBXJvOJB|['bright/positive', 'fluent/positive', 'energised/positive', 'clean/positive', 'imprecise/negative']|['atmospheric/positive', 'lyrical/positive', 'expressive/positive', 'smooth/positive', 'harsh/negative']
wGmNoadd|['bright/positive', 'precision/positive', 'hesitation/negative', 'stumbles/negative', 'character/positive']|['imprecise/negative', 'safe/negative', 'defined/positive', 'dynamic/positive', 'intent/positive']
wJLEyovx|['bright/positive', 'cheery/positive', 'slips/negative', 'enterprising/positive', 'precise/positive']|['conviction/positive', 'vitality/positive', 'smudged/negative', 'syncopated/positive', 'inaccuracies/negative']
wKlzvXBJ|['driving/positive', 'energetic/positive', 'flair/positive', 'uneven/negative', 'inconsistent/negative']|['tender/positive', 'smooth/positive', 'warm/positive', 'incomplete/negative', 'sincere/positive']
wMDkEOGE|['secure/positive', 'warm/positive', 'inconsistent/negative', 'phrasing/positive', 'waning/negative']|['graceful/positive', 'momentum/positive', 'hesitant/negative', 'blemishes/negative', 'poised/positive']
wdkAEolY|['expressive/positive', 'lilting/positive', 'imbalanced/negative', 'controlled/positive', 'conclusive/positive']|['playful/positive', 'uneven/negative', 'forensic/negative', 'enjoyment/positive', 'sparkle/positive']
wwkJdvqJ|['authentic/positive', 'confident/positive', 'defined/positive', 'expressive/positive', 'unsteady/negative']|['ethereal/positive', 'atmospheric/positive', 'assured/positive', 'inaccurate/negative', 'blemished/negative']
wxMqMkRz|['bright/positive', 'accurate/positive', 'evenness/positive', 'clarity/positive', 'articulation/positive']|['haunting/positive', 'flexible/positive', 'imprecise/negative', 'slips/negative', 'poised/positive']
xAYJPvWJ|['expressive/positive', 'rubato/positive', 'legato/positive', 'exploration/positive', 'projection/negative']|['brightness/positive', 'nuance/positive', 'clarity/negative', 'lightness/negative', 'projection/negative', '']
xKNzlbam|['bright/positive', 'secure/positive', 'inconsistent/negative', 'engaging/positive', 'overworked/negative']|['steady/positive', 'restrained/positive', 'overworked/negative', 'lacking/negative', 'varied/positive']
xLrYLJam|['focus/positive', 'bright/positive', 'secure/positive', 'uneven/negative', 'dynamics/negative']|['articulation/positive', 'bounce/positive', 'energy/positive', 'unclean/negative', 'tempo/negative']
xOjNqzlN|['lively/positive', 'precise/positive', 'balanced/positive', 'harsh/negative', 'vivacious/positive']|['direction/positive', 'flow/positive', 'balance/positive', 'harshness/negative', 'rubato/positive']
xYJwKbNZ|['conviction/positive', 'clarity/positive', 'dynamics/positive', 'imprecision/negative', 'panache/positive']|['lush/positive', 'defined/positive', 'emphasized/positive', 'blemishes/negative', 'nuance/positive']
xaAQwPAG|['expressive/positive', 'warm/positive', 'inconsistent/negative', 'lyrical/positive', 'precise/positive']|['energetic/positive', 'convincing/positive', 'understated/negative', 'characterful/positive', 'sequenced/positive']
xawnlepM|['legato/positive', 'cantabile/positive', 'tender/positive', 'assured/positive', 'momentum/negative']|['crisp/positive', 'staccato/positive', 'jaunty/positive', 'bright/positive', 'drive/negative']
xjPPbXJb|['articulation/positive', 'balance/positive', 'textures/positive', 'pedalling/positive', 'inaccuracy/negative']|['poignant/positive', 'lyrical/positive', 'accurate/positive', 'flowing/positive', 'misjudgements/negative']
yAjlmZlo|['charm/positive', 'solid/positive', 'blemishes/negative', 'hesitations/negative', 'momentum/positive']|['energetic/positive', 'neat/positive', 'hurried/negative', 'untidy/negative', 'focused/positive']
yEbGvzAl|['crisp/positive', 'lively/positive', 'danceable/positive', 'inconsistent/negative', 'marring/negative']|['sparkling/positive', 'measured/positive', 'bright/positive', 'slowing/negative', 'uneven/negative']
yJAWDxEM|['pacing/positive', 'rhythms/positive', 'pedalling/negative', 'phrasing/negative', 'expressive/positive']|['rhythmic/positive', 'articulation/positive', 'poise/negative', 'clarity/negative', 'ornaments/negative']
yPPVvXlq|['tempo/positive', 'articulation/positive', 'detail/negative', 'flexibility/negative', 'dynamics/positive']|['unforced/positive', 'pulse/positive', 'contrast/negative', 'buoyancy/positive', 'vitality/positive']
yRmQdZpJ|['evocative/positive', 'sensitive/positive', 'lyrical/positive', 'incohesive/negative', 'controlled/positive']|['bright/positive', 'imprecise/negative', 'coordinated/positive', 'monotone/negative', 'fluent/positive']
yWVQlDoY|['coordinated/positive', 'energised/positive', 'crisp/positive', 'unbalanced/negative', 'inconsistent/negative']|['bold/positive', 'poised/positive', 'shaping/positive', 'inconsistent/negative', 'limited/negative']
yWzNbvkL|['controlled/positive', 'flexible/positive', 'flamboyant/positive', 'untidy/negative', 'authentic/positive']|['bright/positive', 'dynamic/positive', 'unfocused/negative', 'engaging/positive', 'controlled/positive']
yYjPoBRX|['sensitively/positive', 'accurate/positive', 'dynamic/positive', 'warm/positive', 'imprecise/negative']|['energetic/positive', 'buoyant/positive', 'articulated/positive', 'imprecise/negative', 'committed/positive']
yeomdDqb|['sensitive/positive', 'colourful/positive', 'weak/negative', 'imprecise/negative', 'legato/positive']|['contrasts/positive', 'tempo/positive', 'neatness/negative', 'assured/positive', 'committed/positive']
ynEWnlda|['delicate/positive', 'mood/positive', 'warmth/positive', 'flow/positive', 'focus/positive']|['well-defined/positive', 'articulation/positive', 'consistent/positive', 'accurate/positive', 'phrasing/positive']
yqgYvKnK|['energetic/positive', 'dramatic/positive', 'sparkling/positive', 'vibrant/positive', 'imperfect/negative']|['lilting/positive', 'colourful/positive', 'articulate/positive', 'cohesive/positive', 'imbalanced/negative.']
ywMYYvJv|['lively/positive', 'uneven/negative', 'bright/positive', 'sustained/positive', 'glitchy/negative']|['sensitive/positive', 'engaged/positive', 'emotive/positive', 'expressive/positive', 'immersive/positive']
zJwooAyD|['lively/positive', 'untidy/negative', 'momentum/positive', 'accents/positive', 'phrasing/positive']|['gentle/positive', 'expressive/positive', 'uneven/negative', 'balanced/positive', 'contrasted/positive']
zZKkPYJK|['well-timed/positive', 'clear/positive', 'heavy/negative', 'rigid/negative', 'flowing/positive']|['buoyant/positive', 'monotone/negative', 'rigid/negative', 'lively/positive', 'secure/positive']
zaaNvybl|['lively/positive', 'bright/positive', 'dynamic/positive', 'imprecise/negative', 'uneven/negative']|['poised/positive', 'fluent/positive', 'rhythmic/positive', 'tonal/positive', 'confident/positive']
NwkXAqXr|['energised/positive', 'consistent/positive', 'delays/negative', 'underdeveloped/negative', 'paced/positive']|['resolve/positive', 'relaxed/positive', 'disjointed/negative', 'undefined/negative', 'stylish/positive']
qJavRvBb|['confident/positive', 'lively/positive', 'accented/positive', 'colourful/positive', 'slowed/negative']|['crisp/positive', 'flowing/positive', 'uneven/negative', 'pedal-warmed/positive', 'expressive/positive']
bVoWyqPg|['confident/positive', 'brisk/positive', 'well-defined/positive', 'convincing/positive', 'untidy/negative']|['calm/positive', 'soft/positive', 'well-judged/positive', 'lilt/positive', 'understated/negative']
